"Regime_alter";"nb_poissons";"Hg_branchie_mean";"d15N_mean";"Hg_branchie_se";"d15N_se";"d13C_se";"d13C_mean"
"Carnivore_Piscivore";29;0.576857067103448;11.3698585218966;0.0929919602541396;0.151746159534824;0.206881974865168;-28.1109612437931
"Carnivore_Insectivore";5;0.2536618;9.8100111034;0.0775306709743957;0.504262689859985;0.687098810079502;-27.736416228
"Carnivore_Invertivore";84;0.326413794059524;10.1408608355;0.0314631582864524;0.115936904211728;0.178866252967072;-27.8145302604762
"Carnivore";9;0.365694;9.83939206266667;0.0328433081886977;0.154562099395065;0.44616477124845;-27.4791344111111
"Omnivore_Invertivore";158;0.188236392721519;9.71315550236709;0.0139676315208923;0.087210208257342;0.100753462325701;-26.912457820443
"Omnivore_Herbivore";11;0.129511182909091;9.31534473;0.0247274290721951;0.3252693720368;0.310014676938338;-28.2737824709091
"Detritivore";4;0.25127525;10.7038471875;0.0455130709675345;0.118885560049432;0.0487462661038895;-27.4098830725
"Herbivore_Periphytophage";12;0.265508261916667;9.30832816875;0.0715392876123896;0.289692337136472;1.03463106783999;-28.4959260683333
"Herbivore";4;0.08616214475;9.958827857;0.0186103611153826;0.437789717357691;0.405650450432162;-28.1373156875
"Herbivore_Phyllophage";4;0.05204220525;7.79429709125;0.0327752044843945;0.541183077889553;0.404450460142471;-28.2808049825
