"Regime_alter";"nb_poissons";"Hg_foie_mean";"d15N_mean";"Hg_foie_se";"d15N_se";"d13C_se";"d13C_mean"
"Carnivore_Piscivore";25;2.55519949328;11.494773898;0.385057010363946;0.118262519320154;0.180893619419589;-27.9743164488
"Carnivore_Insectivore";4;0.936403;9.9301115765;0.246928780348032;0.632266737943704;0.805243485724609;-28.02460806
"Carnivore_Invertivore";79;1.59409101236709;10.2178928404557;0.15080418680326;0.121922987669971;0.181888675560753;-27.7302150502532
"Carnivore";9;6.963186;9.83939206266667;0.939091754877951;0.154562099395065;0.44616477124845;-27.4791344111111
"Omnivore_Invertivore";141;0.766035112666667;9.83150042608511;0.114244812721188;0.0887323274798792;0.108050854328937;-26.8894745684397
"Omnivore_Herbivore";10;0.4636998245;9.188318309;0.0769296019076165;0.331043632620064;0.334887031415735;-28.339741263
"Detritivore";4;0.671268;10.7038471875;0.159881549128826;0.118885560049432;0.0487462661038895;-27.4098830725
"Herbivore_Periphytophage";10;1.4106350411;9.4105960225;0.670371735021348;0.289744400343431;1.17501325293829;-28.359460122
"Herbivore";5;0.377505061;9.8858007262;0.0474465106326734;0.346884510763102;0.356385763238757;-27.96915077
"Herbivore_Phyllophage";4;0.14575962425;7.79429709125;0.057848163781405;0.541183077889553;0.404450460142471;-28.2808049825
