"variable";"Regime_alt";"nb_poissons";"concentration_mercure_min";"concentration_mercure_max";"concentration_mercure_moyenne";"ecart_type_concentration_mercure";"erreur_type_concentration_mercure";"concentration_mercure_mediane";"moustache_superieure";"moustache_inferieure";"premier_quartile";"troisieme_quartile"
"muscle.foie";"Carnivore_Piscivore";30;0;2.61470762163506;0.983905459573362;0.479462559465342;0.0875374864327767;1.01417704250941;2.13595744151092;0;0.677415184855026;1.26083208751739
"muscle.foie";"Carnivore_Invertivore";81;0.131080306552286;3.20139323454749;1.14942721814606;0.754645593851119;0.0838495104279021;0.965963733427966;3.36318730476171;0.131080306552286;0.568909480074965;1.68662060994966
"muscle.foie";"Omnivore_Invertivore";162;0;5.94683239279977;1.90515515685681;1.16222021122624;0.091312643621126;1.79247332702307;4.61989322430959;0;1.07930152969576;2.49553820754129
"muscle.foie";"Omnivore_Herbivore";10;1.05334439784944;5.79540615578531;2.5302438490517;1.41580248167446;0.447716055901011;2.40307437510993;5.62161960266696;1.05334439784944;1.47719396211519;3.1349642183359
"muscle.foie";"Herbivore_Periphytophage";10;0.553838680903302;4.5795025963378;2.33471501409768;1.43928285088572;0.455141200601937;2.76386998963748;6.50198123517043;0.553838680903302;0.923938841092681;3.15515579872378
"muscle.branchie";"Carnivore_Piscivore";30;0;11.0083567570298;4.73193732266364;2.39397909882943;0.437078784874922;3.99028993034208;12.4997954486967;0;2.99849023755284;6.79901232201037
"muscle.branchie";"Carnivore_Invertivore";81;0.42887135425497;13.2822918219664;4.78128658706891;2.64241710164693;0.293601900182992;4.1694661357662;10.8773144670492;0.42887135425497;2.91518447968543;6.10003647463093
"muscle.branchie";"Omnivore_Invertivore";162;0;14.1480825571735;5.26965593166702;2.57364237222037;0.202204441527339;4.7011382423798;11.0853457788883;0;3.51996227842671;6.54611567861135
"muscle.branchie";"Omnivore_Herbivore";10;2.51353723345609;17.5997926679861;8.88276303214481;4.35685243478974;1.37775771231858;8.22557042526144;14.3329982887717;2.51353723345609;6.58105785119826;9.68183402622763
"muscle.branchie";"Herbivore_Periphytophage";10;2.44329110398027;11.9066606296482;7.26393533462303;2.78353549295579;0.880231210565988;7.36994547482145;13.7329645167322;2.44329110398027;5.75444885253871;8.9458551182161
